,id,start,end,gene_name,product,strand,locus_tag,interval
2078,cds-WP_003094704.1,1139537,1143028,pilY1,type 4a pilus biogenesis protein PilY1,-,NCGM2_RS05125,"[1139537, 1143028]"
2080,cds-WP_003094700.1,1143040,1143627,pilX,type 4a pilus minor pilin PilX,-,NCGM2_RS05130,"[1143040, 1143627]"
2082,cds-WP_003094698.1,1143624,1144448,pilW,type 4a pilus minor pilin PilW,-,NCGM2_RS05135,"[1143624, 1144448]"
2084,cds-WP_003094697.1,1144445,1145002,pilV,type 4a pilus minor pilin PilV,-,NCGM2_RS05140,"[1144445, 1145002]"
2086,cds-WP_003094696.1,1144993,1145499,,general secretion pathway protein GspH,-,NCGM2_RS05145,"[1144993, 1145499]"
2088,cds-WP_015503652.1,1145605,1146114,,prepilin-type N-terminal cleavage/methylation domain-containing protein,-,NCGM2_RS05150,"[1145605, 1146114]"
2090,cds-WP_003094695.1,1146249,1147343,thiO,glycine oxidase ThiO,+,NCGM2_RS05155,"[1146249, 1147343]"
2092,cds-WP_003094694.1,1147389,1148726,,sigma-54-dependent Fis family transcriptional regulator,-,NCGM2_RS05160,"[1147389, 1148726]"
2094,cds-WP_003094692.1,1148741,1150333,,sensor protein PilS,-,NCGM2_RS05165,"[1148741, 1150333]"
2096,cds-WP_014603563.1,1150323,1150568,,hypothetical protein,-,NCGM2_RS05170,"[1150323, 1150568]"
2098,cds-WP_003094687.1,1150725,1151750,,outer membrane protein assembly factor BamD,-,NCGM2_RS05175,"[1150725, 1151750]"
2100,cds-WP_003094686.1,1151896,1152858,rluD,23S rRNA pseudouridine(1911/1915/1917) synthase RluD,+,NCGM2_RS05180,"[1151896, 1152858]"
2102,cds-WP_003094684.1,1152855,1153583,pgeF,peptidoglycan editing factor PgeF,+,NCGM2_RS05185,"[1152855, 1153583]"
2104,cds-WP_003094682.1,1153739,1156303,clpB,ATP-dependent chaperone ClpB,+,NCGM2_RS05190,"[1153739, 1156303]"
2115,cds-WP_014603564.1,1157017,1161324,tpsA4,two-partner secretion system exoprotein TpsA4,-,NCGM2_RS05210,"[1157017, 1161324]"
2117,cds-WP_003094678.1,1161373,1163010,,ShlB/FhaC/HecB family hemolysin secretion/activation protein,-,NCGM2_RS05215,"[1161373, 1163010]"
2119,cds-WP_042114818.1,1163558,1164649,,cell division protein ZapE,+,NCGM2_RS05220,"[1163558, 1164649]"
2121,cds-WP_003094674.1,1164689,1165996,,NAD(P)/FAD-dependent oxidoreductase,-,NCGM2_RS05225,"[1164689, 1165996]"
2123,cds-WP_003094672.1,1166060,1166230,,DUF3094 family protein,-,NCGM2_RS05230,"[1166060, 1166230]"
2125,cds-WP_003094670.1,1166256,1166705,,MOSC domain-containing protein,-,NCGM2_RS05235,"[1166256, 1166705]"
2127,cds-WP_003094668.1,1166702,1167331,,DUF1780 domain-containing protein,-,NCGM2_RS05240,"[1166702, 1167331]"
2129,cds-WP_003094666.1,1167464,1167889,,GNAT family N-acetyltransferase,+,NCGM2_RS05245,"[1167464, 1167889]"
2131,cds-WP_003094664.1,1167886,1168356,,hypothetical protein,+,NCGM2_RS05250,"[1167886, 1168356]"
2133,cds-WP_003094662.1,1168353,1169042,,hypothetical protein,+,NCGM2_RS05255,"[1168353, 1169042]"
2135,cds-WP_003094660.1,1169148,1169357,,hypothetical protein,+,NCGM2_RS05260,"[1169148, 1169357]"
2137,cds-WP_003094656.1,1169394,1169594,yacG,DNA gyrase inhibitor YacG,-,NCGM2_RS05265,"[1169394, 1169594]"
2139,cds-WP_003094654.1,1169591,1170202,,dephospho-CoA kinase,-,NCGM2_RS05270,"[1169591, 1170202]"
2141,cds-WP_003094651.1,1170199,1171071,pilQ,type IV prepilin peptidase/methyltransferase PilD,-,NCGM2_RS05275,"[1170199, 1171071]"
2143,cds-WP_003094649.1,1171075,1172295,,type II secretion system F family protein,-,NCGM2_RS05280,"[1171075, 1172295]"
2145,cds-WP_003094647.1,1172299,1173999,pilB,type IV-A pilus assembly ATPase PilB,-,NCGM2_RS05285,"[1172299, 1173999]"
2147,cds-WP_031630343.1,1174229,1174693,,pilin,+,NCGM2_RS31705,"[1174229, 1174693]"
2152,cds-WP_003094645.1,1174897,1175745,,carboxylating nicotinate-nucleotide diphosphorylase,-,NCGM2_RS05300,"[1174897, 1175745]"
2154,cds-WP_003094643.1,1176031,1178286,,DUF1631 domain-containing protein,+,NCGM2_RS05305,"[1176031, 1178286]"
2156,cds-WP_003094640.1,1178437,1179003,ampD,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD,+,NCGM2_RS05310,"[1178437, 1179003]"
2158,cds-WP_003094639.1,1179000,1179836,ampE,regulatory signaling modulator protein AmpE,+,NCGM2_RS05315,"[1179000, 1179836]"
2160,cds-WP_003094624.1,1180026,1182047,,methyl-accepting chemotaxis protein,+,NCGM2_RS05320,"[1180026, 1182047]"
2162,cds-WP_003094617.1,1182499,1183662,,type III PLP-dependent enzyme,+,NCGM2_RS05325,"[1182499, 1183662]"
2164,cds-WP_003094613.1,1183778,1184203,,VOC family protein,+,NCGM2_RS05330,"[1183778, 1184203]"
2166,cds-WP_014603566.1,1184259,1186061,cptA,phosphoethanolamine transferase CptA,-,NCGM2_RS05335,"[1184259, 1186061]"
2168,cds-WP_003094604.1,1186184,1186999,,sel1 repeat family protein,-,NCGM2_RS05340,"[1186184, 1186999]"
2170,cds-WP_003110338.1,1187002,1187682,,Fe2+-dependent dioxygenase,-,NCGM2_RS05345,"[1187002, 1187682]"
2172,cds-WP_003094598.1,1187900,1190200,,TonB-dependent siderophore receptor,+,NCGM2_RS05350,"[1187900, 1190200]"
2174,cds-WP_014603567.1,1190416,1192968,,flavodoxin,+,NCGM2_RS05355,"[1190416, 1192968]"
2176,cds-WP_003094463.1,1193364,1194263,lpxO,lipid A hydroxylase LpxO,-,NCGM2_RS05360,"[1193364, 1194263]"
2178,cds-WP_003094461.1,1194393,1195148,,LamB/YcsF family protein,+,NCGM2_RS05365,"[1194393, 1195148]"
2180,cds-WP_003094459.1,1195145,1195822,pxpB,5-oxoprolinase subunit PxpB,+,NCGM2_RS05370,"[1195145, 1195822]"
2182,cds-WP_023098828.1,1195819,1196748,,biotin-dependent carboxyltransferase family protein,+,NCGM2_RS05375,"[1195819, 1196748]"
2184,cds-WP_003094456.1,1196753,1197226,,Lrp/AsnC family transcriptional regulator,-,NCGM2_RS05380,"[1196753, 1197226]"
2186,cds-WP_003094454.1,1197368,1198000,,LysE family translocator,+,NCGM2_RS05385,"[1197368, 1198000]"
2188,cds-WP_003094452.1,1198033,1199004,,ABC transporter ATP-binding protein,-,NCGM2_RS05390,"[1198033, 1199004]"
2190,cds-WP_003094451.1,1199004,1199978,,ATP-binding cassette domain-containing protein,-,NCGM2_RS05395,"[1199004, 1199978]"
2192,cds-WP_003094448.1,1200031,1200942,,ABC transporter permease subunit,-,NCGM2_RS05400,"[1200031, 1200942]"
2194,cds-WP_003094446.1,1200954,1201964,,ABC transporter permease subunit,-,NCGM2_RS05405,"[1200954, 1201964]"
2196,cds-WP_003094445.1,1202032,1203627,,ABC transporter substrate-binding protein,-,NCGM2_RS05410,"[1202032, 1203627]"
2198,cds-WP_073660276.1,1203677,1205131,,outer membrane porin%2C OprD family,-,NCGM2_RS05415,"[1203677, 1205131]"
2200,cds-WP_003094437.1,1205356,1206957,,ABC transporter substrate-binding protein,-,NCGM2_RS05420,"[1205356, 1206957]"
2202,cds-WP_003094433.1,1207223,1207786,,cupin domain-containing protein,-,NCGM2_RS05425,"[1207223, 1207786]"
2204,cds-WP_003094429.1,1207955,1209172,,aminopeptidase P family protein,+,NCGM2_RS05430,"[1207955, 1209172]"
2206,cds-WP_003094427.1,1209240,1210838,,ABC transporter substrate-binding protein,-,NCGM2_RS05435,"[1209240, 1210838]"
2208,cds-WP_003094425.1,1210932,1212545,,ABC transporter substrate-binding protein,-,NCGM2_RS05440,"[1210932, 1212545]"
2210,cds-WP_003094423.1,1212798,1213508,,SIMPL domain-containing protein,-,NCGM2_RS05445,"[1212798, 1213508]"
2212,cds-WP_003094421.1,1213785,1215053,,HAMP domain-containing histidine kinase,+,NCGM2_RS05450,"[1213785, 1215053]"
2214,cds-WP_003094419.1,1215079,1215639,,response regulator transcription factor,+,NCGM2_RS05455,"[1215079, 1215639]"
2216,cds-WP_003094417.1,1215802,1216611,,YfaP family protein,+,NCGM2_RS05460,"[1215802, 1216611]"
2218,cds-WP_003094416.1,1216650,1218419,,DUF2138 domain-containing protein,+,NCGM2_RS05465,"[1216650, 1218419]"
2220,cds-WP_003094413.1,1218416,1219054,,DUF1175 domain-containing protein,+,NCGM2_RS05470,"[1218416, 1219054]"
2222,cds-WP_003134831.1,1219081,1223631,,alpha-2-macroglobulin family protein,+,NCGM2_RS05475,"[1219081, 1223631]"
2224,cds-WP_014603568.1,1223628,1225277,,DUF2300 domain-containing protein,+,NCGM2_RS05480,"[1223628, 1225277]"
2226,cds-WP_003094407.1,1225282,1226073,,YfaP family protein,+,NCGM2_RS05485,"[1225282, 1226073]"
2228,cds-WP_003094405.1,1226188,1226574,,hypothetical protein,-,NCGM2_RS05490,"[1226188, 1226574]"
2230,cds-WP_003094403.1,1226606,1226983,,septal ring lytic transglycosylase RlpA family protein,-,NCGM2_RS05495,"[1226606, 1226983]"
2232,cds-WP_071533943.1,1227043,1228521,gatB,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,-,NCGM2_RS05500,"[1227043, 1228521]"
2234,cds-WP_003094399.1,1228595,1230049,gatA,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,-,NCGM2_RS05505,"[1228595, 1230049]"
2236,cds-WP_003094397.1,1230065,1230352,gatC,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,-,NCGM2_RS05510,"[1230065, 1230352]"
2238,cds-WP_003094393.1,1230592,1231629,,rod shape-determining protein,+,NCGM2_RS05515,"[1230592, 1231629]"
2240,cds-WP_071533941.1,1231661,1232701,mreC,rod shape-determining protein MreC,+,NCGM2_RS05520,"[1231661, 1232701]"
2242,cds-WP_003094389.1,1232701,1233195,mreD,rod shape-determining protein MreD,+,NCGM2_RS05525,"[1232701, 1233195]"
2244,cds-WP_003094387.1,1233285,1233890,,septum formation inhibitor Maf,+,NCGM2_RS05530,"[1233285, 1233890]"
2246,cds-WP_003094386.1,1233924,1235381,rng,ribonuclease G,+,NCGM2_RS05535,"[1233924, 1235381]"
2248,cds-WP_003094384.1,1235396,1239226,,TIGR02099 family protein,+,NCGM2_RS05540,"[1235396, 1239226]"
2250,cds-WP_003094382.1,1239296,1240144,,carbon-nitrogen hydrolase family protein,+,NCGM2_RS05545,"[1239296, 1240144]"
2252,cds-WP_003094380.1,1240147,1241589,tldD,metalloprotease TldD,+,NCGM2_RS05550,"[1240147, 1241589]"
2254,cds-WP_003120921.1,1241620,1242222,,ribosome-associated protein,-,NCGM2_RS05555,"[1241620, 1242222]"
2256,cds-WP_003110024.1,1242243,1243592,pmbA,metalloprotease PmbA,+,NCGM2_RS05560,"[1242243, 1243592]"
2258,cds-WP_003094374.1,1243740,1244135,,hypothetical protein,+,NCGM2_RS05565,"[1243740, 1244135]"
2260,cds-WP_003094371.1,1244128,1245504,,class II fumarate hydratase,+,NCGM2_RS05570,"[1244128, 1245504]"
2262,cds-WP_003094369.1,1245532,1245981,,hypothetical protein,+,NCGM2_RS05575,"[1245532, 1245981]"
2264,cds-WP_003094367.1,1245994,1246605,,superoxide dismutase,+,NCGM2_RS05580,"[1245994, 1246605]"
2266,cds-WP_019485801.1,1246624,1247556,,ZIP family metal transporter,+,NCGM2_RS05585,"[1246624, 1247556]"
2268,cds-WP_003094362.1,1247653,1247925,,HPr family phosphocarrier protein,-,NCGM2_RS05590,"[1247653, 1247925]"
2270,cds-WP_003094361.1,1247955,1248815,rapZ,RNase adapter RapZ,-,NCGM2_RS05595,"[1247955, 1248815]"
2272,cds-WP_003098853.1,1248817,1249281,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,-,NCGM2_RS05600,"[1248817, 1249281]"
2274,cds-WP_003094359.1,1249295,1249603,raiA,ribosome-associated translation inhibitor RaiA,-,NCGM2_RS05605,"[1249295, 1249603]"
2276,cds-WP_003094357.1,1249681,1251174,,RNA polymerase factor sigma-54,-,NCGM2_RS05610,"[1249681, 1251174]"
2278,cds-WP_003094355.1,1251400,1252125,lptB,LPS export ABC transporter ATP-binding protein,-,NCGM2_RS05615,"[1251400, 1252125]"
2280,cds-WP_003120916.1,1252125,1252652,lptA,lipopolysaccharide transport periplasmic protein LptA,-,NCGM2_RS05620,"[1252125, 1252652]"
2282,cds-WP_003094353.1,1252639,1253211,lptC,LPS export ABC transporter periplasmic protein LptC,-,NCGM2_RS05625,"[1252639, 1253211]"
2284,cds-WP_003094350.1,1253220,1253759,,HAD family hydrolase,-,NCGM2_RS05630,"[1253220, 1253759]"
2286,cds-WP_003098840.1,1253759,1254733,,KpsF/GutQ family sugar-phosphate isomerase,-,NCGM2_RS05635,"[1253759, 1254733]"
2288,cds-WP_003094343.1,1255152,1255961,,ABC transporter ATP-binding protein,+,NCGM2_RS05640,"[1255152, 1255961]"
2290,cds-WP_003094341.1,1255961,1256758,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,+,NCGM2_RS05645,"[1255961, 1256758]"
2292,cds-WP_003094339.1,1256759,1257232,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,+,NCGM2_RS05650,"[1256759, 1257232]"
2294,cds-WP_003094337.1,1257244,1257891,,phospholipid-binding protein MlaC,+,NCGM2_RS05655,"[1257244, 1257891]"
2296,cds-WP_003094335.1,1257888,1258196,,STAS domain-containing protein,+,NCGM2_RS05660,"[1257888, 1258196]"
2298,cds-WP_003094334.1,1258313,1258552,,BolA family transcriptional regulator,+,NCGM2_RS05665,"[1258313, 1258552]"
2300,cds-WP_003094332.1,1258573,1259838,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,+,NCGM2_RS05670,"[1258573, 1259838]"
2302,cds-WP_003094331.1,1259856,1260491,,ATP phosphoribosyltransferase,+,NCGM2_RS05675,"[1259856, 1260491]"
2304,cds-WP_003094326.1,1260617,1261939,hisD,histidinol dehydrogenase,+,NCGM2_RS05680,"[1260617, 1261939]"
2306,cds-WP_003094322.1,1261942,1262997,,histidinol-phosphate transaminase,+,NCGM2_RS05685,"[1261942, 1262997]"
2308,cds-WP_003094320.1,1263040,1264209,,PDZ domain-containing protein,-,NCGM2_RS05690,"[1263040, 1264209]"
2310,cds-WP_003094318.1,1264326,1265084,,Nif3-like dinuclear metal center hexameric protein,+,NCGM2_RS05695,"[1264326, 1265084]"
2312,cds-WP_003094315.1,1265071,1266174,mltB,lytic murein transglycosylase B,-,NCGM2_RS05700,"[1265071, 1266174]"
2314,cds-WP_003094311.1,1266519,1267436,cysD,sulfate adenylyltransferase subunit CysD,+,NCGM2_RS05705,"[1266519, 1267436]"
2316,cds-WP_003094306.1,1267448,1269349,cysN,sulfate adenylyltransferase subunit CysN,+,NCGM2_RS05710,"[1267448, 1269349]"
2318,cds-WP_003094304.1,1269423,1269869,,YhcB family protein,-,NCGM2_RS05715,"[1269423, 1269869]"
2320,cds-WP_003094302.1,1270014,1270643,,alpha/beta hydrolase,+,NCGM2_RS05720,"[1270014, 1270643]"
2322,cds-WP_014603570.1,1270711,1272057,,tryptophan--tRNA ligase,+,NCGM2_RS05725,"[1270711, 1272057]"
2324,cds-WP_003094297.1,1272152,1273246,,cell division protein ZapE,+,NCGM2_RS05730,"[1272152, 1273246]"
2326,cds-WP_003094294.1,1273311,1274273,,hypothetical protein,-,NCGM2_RS05735,"[1273311, 1274273]"
2328,cds-WP_073660236.1,1274432,1275331,,GlxA family transcriptional regulator,-,NCGM2_RS05740,"[1274432, 1275331]"
2330,cds-WP_003094168.1,1275594,1276730,,acyl-CoA dehydrogenase,+,NCGM2_RS05745,"[1275594, 1276730]"
2332,cds-WP_003094166.1,1276815,1277852,,NADP(H)-dependent aldo-keto reductase,-,NCGM2_RS05750,"[1276815, 1277852]"
2334,cds-WP_003094164.1,1278098,1278526,rplM,50S ribosomal protein L13,+,NCGM2_RS05755,"[1278098, 1278526]"
2336,cds-WP_003098810.1,1278541,1278933,rpsI,30S ribosomal protein S9,+,NCGM2_RS05760,"[1278541, 1278933]"
2338,cds-WP_003100631.1,1279183,1279776,petA,ubiquinol-cytochrome c reductase iron-sulfur subunit,+,NCGM2_RS05765,"[1279183, 1279776]"
2340,cds-WP_003094159.1,1279776,1280987,,cytochrome bc complex cytochrome b subunit,+,NCGM2_RS05770,"[1279776, 1280987]"
2342,cds-WP_003094157.1,1280987,1281769,,cytochrome c1,+,NCGM2_RS05775,"[1280987, 1281769]"
2344,cds-WP_003094155.1,1281855,1282472,,stringent starvation protein A,+,NCGM2_RS05780,"[1281855, 1282472]"
2346,cds-WP_003094153.1,1282484,1282891,,ClpXP protease specificity-enhancing factor,+,NCGM2_RS05785,"[1282484, 1282891]"
2348,cds-WP_003094151.1,1282948,1283526,,BON domain-containing protein,-,NCGM2_RS05790,"[1282948, 1283526]"
2350,cds-WP_003094149.1,1283523,1284116,,phosphoheptose isomerase,-,NCGM2_RS05795,"[1283523, 1284116]"
2352,cds-WP_003110149.1,1284145,1284522,,YraN family protein,-,NCGM2_RS05800,"[1284145, 1284522]"
2354,cds-WP_003094146.1,1284519,1286333,,penicillin-binding protein activator,-,NCGM2_RS05805,"[1284519, 1286333]"
2356,cds-WP_003134739.1,1286460,1287308,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,+,NCGM2_RS05810,"[1286460, 1287308]"
2361,cds-WP_003103101.1,1288013,1288468,mraZ,division/cell wall cluster transcriptional repressor MraZ,+,NCGM2_RS05815,"[1288013, 1288468]"
2363,cds-WP_019485797.1,1288471,1289412,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,+,NCGM2_RS05820,"[1288471, 1289412]"
2365,cds-WP_003094142.1,1289409,1289702,ftsL,cell division protein FtsL,+,NCGM2_RS05825,"[1289409, 1289702]"
2367,cds-WP_014603572.1,1289699,1291438,,penicillin-binding protein 2,+,NCGM2_RS05830,"[1289699, 1291438]"
2369,cds-WP_003094133.1,1291438,1292901,,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,+,NCGM2_RS05835,"[1291438, 1292901]"
2371,cds-WP_003094130.1,1292894,1294270,,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,+,NCGM2_RS05840,"[1292894, 1294270]"
2373,cds-WP_003094129.1,1294270,1295352,,phospho-N-acetylmuramoyl-pentapeptide-transferase,+,NCGM2_RS05845,"[1294270, 1295352]"
2375,cds-WP_003094127.1,1295366,1296712,,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,+,NCGM2_RS05850,"[1295366, 1296712]"
2377,cds-WP_003094125.1,1296712,1297911,ftsW,putative lipid II flippase FtsW,+,NCGM2_RS05855,"[1296712, 1297911]"
2379,cds-WP_014603573.1,1297901,1298974,murG,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,+,NCGM2_RS05860,"[1297901, 1298974]"
2381,cds-WP_003094121.1,1298967,1300409,murC,UDP-N-acetylmuramate--L-alanine ligase,+,NCGM2_RS05865,"[1298967, 1300409]"
2383,cds-WP_003094120.1,1300406,1301365,,D-alanine--D-alanine ligase,+,NCGM2_RS05870,"[1300406, 1301365]"
2385,cds-WP_003094118.1,1301369,1302232,,cell division protein FtsQ/DivIB,+,NCGM2_RS05875,"[1301369, 1302232]"
2387,cds-WP_003094115.1,1302254,1303507,ftsA,cell division protein FtsA,+,NCGM2_RS05880,"[1302254, 1303507]"
2389,cds-WP_003094113.1,1303558,1304742,ftsZ,cell division protein FtsZ,+,NCGM2_RS05885,"[1303558, 1304742]"
2391,cds-WP_003094111.1,1304855,1305766,,UDP-3-O-acyl-N-acetylglucosamine deacetylase,+,NCGM2_RS05890,"[1304855, 1305766]"
2393,cds-WP_003094105.1,1305827,1306288,,DUF721 domain-containing protein,-,NCGM2_RS05895,"[1305827, 1306288]"
2395,cds-WP_003094103.1,1306369,1307292,,M23 family metallopeptidase,+,NCGM2_RS05900,"[1306369, 1307292]"
2397,cds-WP_003094098.1,1307426,1310176,secA,preprotein translocase subunit SecA,+,NCGM2_RS05905,"[1307426, 1310176]"
2399,cds-WP_003094095.1,1310323,1311540,argJ,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,+,NCGM2_RS05910,"[1310323, 1311540]"
2401,cds-WP_003094092.1,1311661,1312296,,glutathione S-transferase family protein,+,NCGM2_RS05915,"[1311661, 1312296]"
2403,cds-WP_003094090.1,1312347,1313294,,Nudix family hydrolase,+,NCGM2_RS05920,"[1312347, 1313294]"
2405,cds-WP_003094089.1,1313365,1313943,,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,-,NCGM2_RS05925,"[1313365, 1313943]"
2407,cds-WP_003094087.1,1313948,1316044,,PAS domain-containing protein,-,NCGM2_RS05930,"[1313948, 1316044]"
2409,cds-WP_003094086.1,1316095,1317006,,putative 2-dehydropantoate 2-reductase,-,NCGM2_RS05935,"[1316095, 1317006]"
2411,cds-WP_003110161.1,1317043,1318143,,response regulator,-,NCGM2_RS05940,"[1317043, 1318143]"
2413,cds-WP_003094081.1,1318247,1318726,,YajQ family cyclic di-GMP-binding protein,+,NCGM2_RS05945,"[1318247, 1318726]"
2415,cds-WP_003094078.1,1318959,1319795,,mechanosensitive ion channel family protein,+,NCGM2_RS05950,"[1318959, 1319795]"
2417,cds-WP_003094076.1,1319851,1321635,,MFS transporter,-,NCGM2_RS05955,"[1319851, 1321635]"
2419,cds-WP_003094074.1,1321678,1322061,,MGMT family protein,-,NCGM2_RS05960,"[1321678, 1322061]"
2421,cds-WP_003120893.1,1322060,1323061,,DUF481 domain-containing protein,+,NCGM2_RS05965,"[1322060, 1323061]"
2423,cds-WP_003134709.1,1323176,1324183,,DUF481 domain-containing protein,+,NCGM2_RS05970,"[1323176, 1324183]"
2425,cds-WP_003094072.1,1324242,1325000,,SDR family oxidoreductase,-,NCGM2_RS05975,"[1324242, 1325000]"
2427,cds-WP_003094069.1,1325109,1325843,,HugZ family protein,+,NCGM2_RS05980,"[1325109, 1325843]"
2429,cds-WP_003094066.1,1325912,1326379,fxsA,membrane protein FxsA,+,NCGM2_RS05985,"[1325912, 1326379]"
2431,cds-WP_003094064.1,1326575,1326868,,co-chaperone GroES,+,NCGM2_RS05990,"[1326575, 1326868]"
2433,cds-WP_003094059.1,1326919,1328562,groL,chaperonin GroEL,+,NCGM2_RS05995,"[1326919, 1328562]"
2435,cds-WP_003094054.1,1328619,1329305,,hypothetical protein,-,NCGM2_RS06000,"[1328619, 1329305]"
2437,cds-WP_003094051.1,1329535,1329918,crcB,fluoride efflux transporter CrcB,+,NCGM2_RS06005,"[1329535, 1329918]"
2439,cds-WP_003094048.1,1329938,1330267,,DUF190 domain-containing protein,+,NCGM2_RS06010,"[1329938, 1330267]"
2441,cds-WP_003094044.1,1330210,1331004,,phosphatase PAP2 family protein,-,NCGM2_RS06015,"[1330210, 1331004]"
2443,cds-WP_003094039.1,1331221,1331904,,response regulator transcription factor,+,NCGM2_RS06020,"[1331221, 1331904]"
2445,cds-WP_003094037.1,1331894,1333174,,HAMP domain-containing histidine kinase,+,NCGM2_RS06025,"[1331894, 1333174]"
2447,cds-WP_003094031.1,1333254,1333937,,class I SAM-dependent methyltransferase,+,NCGM2_RS06030,"[1333254, 1333937]"
2449,cds-WP_003094029.1,1333940,1334644,,hypothetical protein,+,NCGM2_RS06035,"[1333940, 1334644]"
2451,cds-WP_012077171.1,1334641,1334883,,hypothetical protein,+,NCGM2_RS06040,"[1334641, 1334883]"
2453,cds-WP_003094025.1,1335008,1336204,pncB,nicotinate phosphoribosyltransferase,-,NCGM2_RS06045,"[1335008, 1336204]"
2455,cds-WP_003094023.1,1336342,1339398,mexW,multidrug efflux RND transporter permease subunit MexW,-,NCGM2_RS06050,"[1336342, 1339398]"
2457,cds-WP_023098825.1,1339449,1340579,mexV,multidrug efflux RND transporter periplasmic adaptor subunit MexV,-,NCGM2_RS06055,"[1339449, 1340579]"
2459,cds-WP_003094019.1,1340749,1341843,,DUF1513 domain-containing protein,-,NCGM2_RS06060,"[1340749, 1341843]"
2461,cds-WP_003094017.1,1341854,1342918,,lipoprotein,-,NCGM2_RS06065,"[1341854, 1342918]"
2463,cds-WP_003094015.1,1342928,1344349,,c-type cytochrome,-,NCGM2_RS06070,"[1342928, 1344349]"
2465,cds-WP_003112765.1,1344512,1345852,,insulin-cleaving metalloproteinase outer membrane protein,-,NCGM2_RS06075,"[1344512, 1345852]"
2467,cds-WP_003094011.1,1346046,1346618,,LemA family protein,+,NCGM2_RS06080,"[1346046, 1346618]"
2469,cds-WP_003094009.1,1346620,1347522,,hypothetical protein,+,NCGM2_RS06085,"[1346620, 1347522]"
2471,cds-WP_003094007.1,1347523,1349586,,GGDEF and EAL domain-containing protein,-,NCGM2_RS06090,"[1347523, 1349586]"
2473,cds-WP_003094005.1,1349767,1350348,sodB,superoxide dismutase [Fe],-,NCGM2_RS06095,"[1349767, 1350348]"
2475,cds-WP_003094003.1,1350695,1351297,,amino acid transporter,-,NCGM2_RS06100,"[1350695, 1351297]"
2477,cds-WP_003094000.1,1351299,1351700,,ACT domain-containing protein,-,NCGM2_RS06105,"[1351299, 1351700]"
2479,cds-WP_073660235.1,1351798,1352700,,LysR family transcriptional regulator ArgP,+,NCGM2_RS06110,"[1351798, 1352700]"
2481,cds-WP_003093996.1,1352701,1353759,,NAD(P)H-binding protein,-,NCGM2_RS06115,"[1352701, 1353759]"
2483,cds-WP_003093995.1,1353944,1354933,,NAD-dependent epimerase/dehydratase family protein,+,NCGM2_RS06120,"[1353944, 1354933]"
2485,cds-WP_003093992.1,1354934,1355197,,hypothetical protein,-,NCGM2_RS06125,"[1354934, 1355197]"
2487,cds-WP_003093989.1,1355488,1356324,,ATPase,+,NCGM2_RS06130,"[1355488, 1356324]"
2489,cds-WP_003093986.1,1356541,1356768,feoA,ferrous iron transporter A,+,NCGM2_RS06135,"[1356541, 1356768]"
2491,cds-WP_003093984.1,1356786,1359086,feoB,Fe(2+) transporter permease subunit FeoB,+,NCGM2_RS06140,"[1356786, 1359086]"
2493,cds-WP_003093982.1,1359086,1359328,,hypothetical protein,+,NCGM2_RS06145,"[1359086, 1359328]"
2495,cds-WP_003093980.1,1359389,1360441,,alkene reductase,-,NCGM2_RS06150,"[1359389, 1360441]"
2497,cds-WP_014603575.1,1360478,1361644,,MFS transporter,-,NCGM2_RS06155,"[1360478, 1361644]"
2499,cds-WP_003093978.1,1361693,1361995,,helix-turn-helix transcriptional regulator,-,NCGM2_RS06160,"[1361693, 1361995]"
2501,cds-WP_003093976.1,1362148,1362720,,DUF479 domain-containing protein,+,NCGM2_RS06165,"[1362148, 1362720]"
2503,cds-WP_003093974.1,1362870,1363730,,universal stress protein,+,NCGM2_RS06170,"[1362870, 1363730]"
2505,cds-WP_003112769.1,1363727,1364503,,1-acyl-sn-glycerol-3-phosphate acyltransferase,-,NCGM2_RS06175,"[1363727, 1364503]"
2507,cds-WP_003093970.1,1364503,1365258,,GNAT family N-acetyltransferase,-,NCGM2_RS06180,"[1364503, 1365258]"
2509,cds-WP_003093969.1,1365461,1366357,,hypothetical protein,+,NCGM2_RS06185,"[1365461, 1366357]"
2511,cds-WP_003093967.1,1366442,1367227,,FprA family A-type flavoprotein,+,NCGM2_RS06190,"[1366442, 1367227]"
