,id,start,end,gene_name,strand,locus_tag,interval
2031,gene-PA0954,1040432,1040707,PA0954,+,PA0954,"[1040432, 1040707]"
2033,gene-PA0955,1040724,1041680,PA0955,-,PA0955,"[1040724, 1041680]"
2035,gene-PA0956,1041689,1043404,proS,-,PA0956,"[1041689, 1043404]"
2037,gene-PA0957,1043512,1043919,PA0957,+,PA0957,"[1043512, 1043919]"
2039,gene-PA0958,1043983,1045314,oprD,-,PA0958,"[1043983, 1045314]"
2042,gene-PA0959,1045832,1046461,PA0959,+,PA0959,"[1045832, 1046461]"
2044,gene-PA0960,1046462,1046671,PA0960,+,PA0960,"[1046462, 1046671]"
2046,gene-PA0961,1046720,1047334,PA0961,-,PA0961,"[1046720, 1047334]"
2048,gene-PA0962,1047549,1048019,PA0962,-,PA0962,"[1047549, 1048019]"
2050,gene-PA0963,1048459,1050234,aspS,+,PA0963,"[1048459, 1050234]"
2052,gene-PA0964,1050301,1051047,pmpR,+,PA0964,"[1050301, 1051047]"
2054,gene-PA0965,1051132,1051656,ruvC,+,PA0965,"[1051132, 1051656]"
2056,gene-PA0966,1051673,1052278,ruvA,+,PA0966,"[1051673, 1052278]"
2058,gene-PA0967,1052289,1053347,ruvB,+,PA0967,"[1052289, 1053347]"
2061,gene-PA0968,1053400,1053846,PA0968,+,PA0968,"[1053400, 1053846]"
2063,gene-PA0969,1053848,1054543,tolQ,+,PA0969,"[1053848, 1054543]"
2065,gene-PA0970,1054566,1055006,tolR,+,PA0970,"[1054566, 1055006]"
2067,gene-PA0971,1055009,1056052,tolA,+,PA0971,"[1055009, 1056052]"
2069,gene-PA0972,1056049,1057347,tolB,+,PA0972,"[1056049, 1057347]"
2071,gene-PA0973,1057400,1057906,oprL,+,PA0973,"[1057400, 1057906]"
2073,gene-PA0974,1057916,1058740,PA0974,+,PA0974,"[1057916, 1058740]"
2075,gene-PA0975,1058812,1059606,PA0975,+,PA0975,"[1058812, 1059606]"
2077,gene-PA0976,1059622,1060296,PA0976,+,PA0976,"[1059622, 1060296]"
2079,gene-PA0976.1,1060356,1060431,PA0976.1,+,PA0976.1,"[1060356, 1060431]"
2082,gene-PA0978,1061207,1062034,PA0978,-,PA0978,"[1061207, 1062034]"
2084,gene-PA0979,1062061,1062369,PA0979,-,PA0979,"[1062061, 1062369]"
2086,gene-PA0981,1062921,1063544,PA0981,+,PA0981,"[1062921, 1063544]"
2088,gene-PA0982,1064555,1065103,PA0982,-,PA0982,"[1064555, 1065103]"
2090,gene-PA0983,1065138,1065425,PA0983,+,PA0983,"[1065138, 1065425]"
2092,gene-PA0984,1065970,1066296,PA0984,+,PA0984,"[1065970, 1066296]"
2094,gene-PA0985,1066321,1067817,pyoS5,-,PA0985,"[1066321, 1067817]"
2096,gene-PA0986,1068193,1068456,PA0986,+,PA0986,"[1068193, 1068456]"
2098,gene-PA0987,1068489,1069331,PA0987,+,PA0987,"[1068489, 1069331]"
2103,gene-PA0988,1069769,1070173,PA0988,+,PA0988,"[1069769, 1070173]"
2105,gene-PA0989,1070294,1070854,PA0989,-,PA0989,"[1070294, 1070854]"
2107,gene-PA0990,1071239,1071877,PA0990,-,PA0990,"[1071239, 1071877]"
2109,gene-PA0992,1073285,1073902,cupC1,+,PA0992,"[1073285, 1073902]"
2111,gene-PA0993,1073960,1074673,cupC2,+,PA0993,"[1073960, 1074673]"
2113,gene-PA0994,1074784,1077303,cupC3,+,PA0994,"[1074784, 1077303]"
2115,gene-PA0995,1077383,1077904,ogt,-,PA0995,"[1077383, 1077904]"
2118,gene-PA0996,1078462,1080015,pqsA,+,PA0996,"[1078462, 1080015]"
2120,gene-PA0997,1080009,1080860,pqsB,+,PA0997,"[1080009, 1080860]"
2122,gene-PA0998,1080853,1081899,pqsC,+,PA0998,"[1080853, 1081899]"
2124,gene-PA0999,1081942,1082955,pqsD,+,PA0999,"[1081942, 1082955]"
2126,gene-PA1000,1082949,1083854,pqsE,+,PA1000,"[1082949, 1083854]"
2128,gene-PA1001,1083972,1085564,phnA,+,PA1001,"[1083972, 1085564]"
2130,gene-PA1002,1085542,1086144,phnB,+,PA1002,"[1085542, 1086144]"
2132,gene-PA1003,1086097,1087095,mvfR,-,PA1003,"[1086097, 1087095]"
2135,gene-PA1004,1087843,1088901,nadA,+,PA1004,"[1087843, 1088901]"
2137,gene-PA1005,1089010,1090443,PA1005,-,PA1005,"[1089010, 1090443]"
2139,gene-PA1006,1090606,1090857,PA1006,+,PA1006,"[1090606, 1090857]"
2141,gene-PA1007,1090891,1091964,PA1007,+,PA1007,"[1090891, 1091964]"
2143,gene-PA1008,1092025,1092498,bcp,-,PA1008,"[1092025, 1092498]"
2145,gene-PA1009,1092510,1093067,PA1009,-,PA1009,"[1092510, 1093067]"
2147,gene-PA1010,1093251,1094129,dapA,+,PA1010,"[1093251, 1094129]"
2149,gene-PA1011,1094147,1095337,PA1011,+,PA1011,"[1094147, 1095337]"
2151,gene-PA1012,1095276,1096034,PA1012,+,PA1012,"[1095276, 1096034]"
2153,gene-PA1013,1096063,1096773,purC,+,PA1013,"[1096063, 1096773]"
2155,gene-PA1013.1,1096867,1096956,PA1013.1,+,PA1013.1,"[1096867, 1096956]"
2158,gene-PA1014,1097296,1098288,PA1014,+,PA1014,"[1097296, 1098288]"
2160,gene-PA1015,1098328,1099128,PA1015,-,PA1015,"[1098328, 1099128]"
2162,gene-PA1016,1099669,1100820,PA1016,+,PA1016,"[1099669, 1100820]"
2164,gene-PA1017,1100930,1103077,pauA,+,PA1017,"[1100930, 1103077]"
2166,gene-PA1018,1103061,1103927,PA1018,+,PA1018,"[1103061, 1103927]"
2168,gene-PA1019,1104009,1105364,mucK,+,PA1019,"[1104009, 1105364]"
2170,gene-PA1019a,1105388,1105795,PA1019a,+,PA1019a,"[1105388, 1105795]"
2172,gene-PA1020,1105888,1107000,PA1020,+,PA1020,"[1105888, 1107000]"
2174,gene-PA1021,1107000,1107761,PA1021,+,PA1021,"[1107000, 1107761]"
2176,gene-PA1022,1107763,1108908,PA1022,+,PA1022,"[1107763, 1108908]"
2178,gene-PA1023,1108949,1109866,PA1023,+,PA1023,"[1108949, 1109866]"
2180,gene-PA1024,1109882,1110868,PA1024,+,PA1024,"[1109882, 1110868]"
2182,gene-PA1025,1110947,1112197,PA1025,+,PA1025,"[1110947, 1112197]"
2184,gene-PA1026,1112574,1113050,PA1026,-,PA1026,"[1112574, 1113050]"
2186,gene-PA1027,1113129,1114718,PA1027,+,PA1027,"[1113129, 1114718]"
2188,gene-PA1028,1114774,1116060,PA1028,+,PA1028,"[1114774, 1116060]"
2191,gene-PA1030,1116635,1117390,PA1030,+,PA1030,"[1116635, 1117390]"
2193,gene-PA1030.1,1117532,1117609,PA1030.1,+,PA1030.1,"[1117532, 1117609]"
2196,gene-PA1031,1118158,1119519,PA1031,+,PA1031,"[1118158, 1119519]"
2198,gene-PA1032,1119674,1122217,quiP,-,PA1032,"[1119674, 1122217]"
2200,gene-PA1033,1122340,1122981,PA1033,-,PA1033,"[1122340, 1122981]"
2202,gene-PA1034,1123148,1123348,PA1034,-,PA1034,"[1123148, 1123348]"
2204,gene-PA1035,1123356,1123850,PA1035,-,PA1035,"[1123356, 1123850]"
2206,gene-PA1036,1124165,1124725,PA1036,+,PA1036,"[1124165, 1124725]"
2208,gene-PA1037,1124845,1125465,PA1037,-,PA1037,"[1124845, 1125465]"
2210,gene-PA1038,1125548,1125865,PA1038,-,PA1038,"[1125548, 1125865]"
2212,gene-PA1039,1125865,1126338,PA1039,-,PA1039,"[1125865, 1126338]"
2214,gene-PA1040,1126341,1126838,PA1040,-,PA1040,"[1126341, 1126838]"
2216,gene-PA1041,1126969,1127601,PA1041,+,PA1041,"[1126969, 1127601]"
2218,gene-PA1042,1127717,1128016,PA1042,+,PA1042,"[1127717, 1128016]"
2220,gene-PA1043,1128009,1128818,PA1043,+,PA1043,"[1128009, 1128818]"
2222,gene-PA1044,1128857,1129321,PA1044,-,PA1044,"[1128857, 1129321]"
2224,gene-PA1045,1129451,1131595,PA1045,+,PA1045,"[1129451, 1131595]"
2226,gene-PA1046,1131674,1133947,PA1046,+,PA1046,"[1131674, 1133947]"
2228,gene-PA1047,1134024,1135202,PA1047,+,PA1047,"[1134024, 1135202]"
2230,gene-PA1048,1135408,1136289,PA1048,+,PA1048,"[1135408, 1136289]"
2232,gene-PA1049,1136388,1137035,pdxH,+,PA1049,"[1136388, 1137035]"
2234,gene-PA1050,1137043,1138155,PA1050,+,PA1050,"[1137043, 1138155]"
2236,gene-PA1051,1138314,1139672,PA1051,+,PA1051,"[1138314, 1139672]"
2238,gene-PA1052,1139714,1140859,PA1052,+,PA1052,"[1139714, 1140859]"
2240,gene-PA1052a,1140838,1141080,PA1052a,-,PA1052a,"[1140838, 1141080]"
2242,gene-PA1053,1141268,1141732,PA1053,+,PA1053,"[1141268, 1141732]"
2244,gene-PA1054,1142061,1144862,PA1054,+,PA1054,"[1142061, 1144862]"
2248,gene-PA1055,1144862,1145200,PA1055,+,PA1055,"[1144862, 1145200]"
2250,gene-PA1056,1145197,1146696,PA1056,+,PA1056,"[1145197, 1146696]"
2252,gene-PA1057,1146693,1147217,PA1057,+,PA1057,"[1146693, 1147217]"
2254,gene-PA1058,1147202,1147471,PA1058,+,PA1058,"[1147202, 1147471]"
2256,gene-PA1059,1147468,1147815,PA1059,+,PA1059,"[1147468, 1147815]"
2258,gene-PA1060,1147928,1148833,PA1060,+,PA1060,"[1147928, 1148833]"
2260,gene-PA1061,1148844,1149941,PA1061,+,PA1061,"[1148844, 1149941]"
2262,gene-PA1062,1149952,1150473,PA1062,+,PA1062,"[1149952, 1150473]"
2264,gene-PA1063,1150470,1150721,PA1063,+,PA1063,"[1150470, 1150721]"
2266,gene-PA1064,1150750,1151415,PA1064,-,PA1064,"[1150750, 1151415]"
2268,gene-PA1065,1151435,1151908,PA1065,+,PA1065,"[1151435, 1151908]"
2270,gene-PA1066,1151919,1152575,PA1066,-,PA1066,"[1151919, 1152575]"
2272,gene-PA1067,1152624,1153538,PA1067,+,PA1067,"[1152624, 1153538]"
2274,gene-PA1068,1153637,1155547,PA1068,+,PA1068,"[1153637, 1155547]"
2276,gene-PA1069,1155584,1157878,PA1069,+,PA1069,"[1155584, 1157878]"
2278,gene-PA1070,1157954,1158655,braG,-,PA1070,"[1157954, 1158655]"
2280,gene-PA1071,1158658,1159425,braF,-,PA1071,"[1158658, 1159425]"
2282,gene-PA1072,1159422,1160675,braE,-,PA1072,"[1159422, 1160675]"
2284,gene-PA1073,1160672,1161595,braD,-,PA1073,"[1160672, 1161595]"
2288,gene-PA1074,1161856,1162977,braC,-,PA1074,"[1161856, 1162977]"
2290,gene-PA1075,1163276,1163593,PA1075,+,PA1075,"[1163276, 1163593]"
2292,gene-PA1076,1163660,1164022,PA1076,+,PA1076,"[1163660, 1164022]"
2294,gene-PA1077,1164275,1164682,flgB,+,PA1077,"[1164275, 1164682]"
2296,gene-PA1078,1164688,1165128,flgC,+,PA1078,"[1164688, 1165128]"
2298,gene-PA1079,1165141,1165854,flgD,+,PA1079,"[1165141, 1165854]"
2301,gene-PA1080,1165882,1167270,flgE,+,PA1080,"[1165882, 1167270]"
2303,gene-PA1081,1167488,1168237,flgF,+,PA1081,"[1167488, 1168237]"
2305,gene-PA1082,1168284,1169069,flgG,+,PA1082,"[1168284, 1169069]"
2307,gene-PA1083,1169115,1169810,flgH,+,PA1083,"[1169115, 1169810]"
2309,gene-PA1084,1169822,1170931,flgI,+,PA1084,"[1169822, 1170931]"
2311,gene-PA1085,1170942,1172144,flgJ,+,PA1085,"[1170942, 1172144]"
2313,gene-PA1086,1172163,1174214,flgK,+,PA1086,"[1172163, 1174214]"
2315,gene-PA1087,1174240,1175559,flgL,+,PA1087,"[1174240, 1175559]"
2317,gene-PA1088,1175614,1176375,PA1088,+,PA1088,"[1175614, 1176375]"
2319,gene-PA1089,1176380,1176982,PA1089,+,PA1089,"[1176380, 1176982]"
2321,gene-PA1090,1176958,1177620,PA1090,+,PA1090,"[1176958, 1177620]"
2323,gene-PA1091,1177613,1182697,fgtA,+,PA1091,"[1177613, 1182697]"
2325,gene-PA1092,1183058,1184524,fliC,+,PA1092,"[1183058, 1184524]"
2327,gene-PA1093,1184603,1184974,PA1093,+,PA1093,"[1184603, 1184974]"
2329,gene-PA1094,1185060,1186484,fliD,+,PA1094,"[1185060, 1186484]"
2331,gene-PA1095,1186606,1186986,PA1095,+,PA1095,"[1186606, 1186986]"
2333,gene-PA1096,1187009,1187305,PA1096,+,PA1096,"[1187009, 1187305]"
2337,gene-PA1097,1187587,1189059,fleQ,+,PA1097,"[1187587, 1189059]"
2339,gene-PA1098,1189172,1190380,fleS,+,PA1098,"[1189172, 1190380]"
2341,gene-PA1099,1190385,1191806,fleR,+,PA1099,"[1190385, 1191806]"
2343,gene-PA1100,1192053,1192382,fliE,+,PA1100,"[1192053, 1192382]"
2345,gene-PA1101,1192405,1194201,fliF,+,PA1101,"[1192405, 1194201]"
2349,gene-PA1102,1194207,1195223,fliG,+,PA1102,"[1194207, 1195223]"
2351,gene-PA1103,1195225,1196031,PA1103,+,PA1103,"[1195225, 1196031]"
2353,gene-PA1104,1196021,1197376,fliI,+,PA1104,"[1196021, 1197376]"
2355,gene-PA1105,1197390,1197833,fliJ,+,PA1105,"[1197390, 1197833]"
2357,gene-PA1106,1197838,1198551,PA1106,-,PA1106,"[1197838, 1198551]"
2359,gene-PA1107,1198750,1199946,PA1107,-,PA1107,"[1198750, 1199946]"
2363,gene-PA1108,1200063,1201220,PA1108,-,PA1108,"[1200063, 1201220]"
2365,gene-PA1109,1201310,1202089,PA1109,+,PA1109,"[1201310, 1202089]"
2367,gene-PA1110,1202094,1202804,PA1110,-,PA1110,"[1202094, 1202804]"
2369,gene-PA1111,1202917,1203540,PA1111,+,PA1111,"[1202917, 1203540]"
2371,gene-PA1112,1203633,1204781,PA1112,+,PA1112,"[1203633, 1204781]"
2373,gene-PA1112a,1204785,1205006,PA1112a,-,PA1112a,"[1204785, 1205006]"
2375,gene-PA1112.1,1205031,1205330,PA1112.1,-,PA1112.1,"[1205031, 1205330]"
2378,gene-PA1112b,1205107,1205298,PA1112b,-,PA1112b,"[1205107, 1205298]"
2380,gene-PA1113,1205771,1207537,PA1113,+,PA1113,"[1205771, 1207537]"
2382,gene-PA1114,1207540,1207875,PA1114,-,PA1114,"[1207540, 1207875]"
2384,gene-PA1115,1207979,1210303,PA1115,-,PA1115,"[1207979, 1210303]"
2386,gene-PA1116,1210558,1211397,PA1116,+,PA1116,"[1210558, 1211397]"
2388,gene-PA1117,1211407,1211781,PA1117,-,PA1117,"[1211407, 1211781]"
2390,gene-PA1118,1211888,1212571,PA1118,-,PA1118,"[1211888, 1212571]"
2392,gene-PA1119,1212717,1213223,yfiB,-,PA1119,"[1212717, 1213223]"
2394,gene-PA1120,1213195,1214502,tpbB,-,PA1120,"[1213195, 1214502]"
2396,gene-PA1121,1214502,1215074,yfiR,-,PA1121,"[1214502, 1215074]"
2399,gene-PA1123,1216120,1216440,PA1123,-,PA1123,"[1216120, 1216440]"
2401,gene-PA1124,1216671,1218167,dgt,+,PA1124,"[1216671, 1218167]"
2403,gene-PA1125,1218181,1218933,PA1125,+,PA1125,"[1218181, 1218933]"
2405,gene-PA1126,1218940,1219527,PA1126,-,PA1126,"[1218940, 1219527]"
2407,gene-PA1127,1219621,1220610,PA1127,-,PA1127,"[1219621, 1220610]"
2410,gene-PA1128,1220745,1221656,PA1128,+,PA1128,"[1220745, 1221656]"
2412,gene-PA1129,1221691,1222098,PA1129,+,PA1129,"[1221691, 1222098]"
2414,gene-PA1130,1222095,1223072,rhlC,-,PA1130,"[1222095, 1223072]"
2416,gene-PA1131,1223060,1224328,PA1131,-,PA1131,"[1223060, 1224328]"
2419,gene-PA1132,1224641,1225330,PA1132,+,PA1132,"[1224641, 1225330]"
2421,gene-PA1133,1225340,1225690,PA1133,-,PA1133,"[1225340, 1225690]"
2423,gene-PA1134,1225757,1226278,PA1134,-,PA1134,"[1225757, 1226278]"
2425,gene-PA1135,1226427,1227302,PA1135,-,PA1135,"[1226427, 1227302]"
2427,gene-PA1136,1227474,1228205,PA1136,+,PA1136,"[1227474, 1228205]"
2429,gene-PA1137,1228212,1229198,PA1137,-,PA1137,"[1228212, 1229198]"
2431,gene-PA1138,1229344,1230219,PA1138,+,PA1138,"[1229344, 1230219]"
2433,gene-PA1139,1230310,1231158,PA1139,+,PA1139,"[1230310, 1231158]"
2435,gene-PA1140,1231256,1232092,PA1140,-,PA1140,"[1231256, 1232092]"
2437,gene-PA1141,1232229,1233131,PA1141,-,PA1141,"[1232229, 1233131]"
2439,gene-PA1142,1233297,1234013,PA1142,-,PA1142,"[1233297, 1234013]"
2441,gene-PA1143,1234095,1234748,PA1143,-,PA1143,"[1234095, 1234748]"
2443,gene-PA1144,1234816,1236150,PA1144,-,PA1144,"[1234816, 1236150]"
2445,gene-PA1145,1236644,1237546,PA1145,+,PA1145,"[1236644, 1237546]"
2447,gene-PA1146,1237551,1238732,PA1146,-,PA1146,"[1237551, 1238732]"
2449,gene-PA1147,1238834,1240324,PA1147,-,PA1147,"[1238834, 1240324]"
2451,gene-PA1148,1240584,1242500,toxA,-,PA1148,"[1240584, 1242500]"
2453,gene-PA1149,1242750,1243118,PA1149,-,PA1149,"[1242750, 1243118]"
2456,gene-PA1150,1243594,1245663,pys2,+,PA1150,"[1243594, 1245663]"
2458,gene-PA1151,1245665,1245928,imm2,+,PA1151,"[1245665, 1245928]"
2460,gene-PA1153,1247932,1248486,PA1153,-,PA1153,"[1247932, 1248486]"
2462,gene-PA1154,1249019,1249552,PA1154,-,PA1154,"[1249019, 1249552]"
2464,gene-PA1155,1249907,1251154,nrdB,-,PA1155,"[1249907, 1251154]"
2466,gene-PA1156,1251418,1254309,nrdA,-,PA1156,"[1251418, 1254309]"
2468,gene-PA1157,1255042,1255752,PA1157,+,PA1157,"[1255042, 1255752]"
2470,gene-PA1158,1256094,1257452,PA1158,+,PA1158,"[1256094, 1257452]"
2474,gene-PA1159,1257772,1257981,PA1159,+,PA1159,"[1257772, 1257981]"
2476,gene-PA1160,1258087,1258470,PA1160,-,PA1160,"[1258087, 1258470]"
2478,gene-PA1161,1258488,1259291,rrmA,-,PA1161,"[1258488, 1259291]"
2480,gene-PA1162,1259291,1260442,dapE,-,PA1162,"[1259291, 1260442]"
2482,gene-PA1163,1260557,1263166,ndvB,-,PA1163,"[1260557, 1263166]"
2484,gene-PA1164,1263378,1264190,PA1164,+,PA1164,"[1263378, 1264190]"
2486,gene-PA1165,1264191,1264919,pcpS,-,PA1165,"[1264191, 1264919]"
2488,gene-PA1166,1265147,1265935,PA1166,-,PA1166,"[1265147, 1265935]"
2490,gene-PA1167,1266111,1266782,PA1167,+,PA1167,"[1266111, 1266782]"
2492,gene-PA1168,1267282,1267602,PA1168,+,PA1168,"[1267282, 1267602]"
2494,gene-PA1169,1267680,1269737,PA1169,+,PA1169,"[1267680, 1269737]"
2496,gene-PA1170,1269781,1270515,PA1170,-,PA1170,"[1269781, 1270515]"
2498,gene-PA1171,1270972,1272168,PA1171,+,PA1171,"[1270972, 1272168]"
2501,gene-PA1172,1272200,1272796,napC,-,PA1172,"[1272200, 1272796]"
2503,gene-PA1173,1272807,1273298,napB,-,PA1173,"[1272807, 1273298]"
2505,gene-PA1174,1273309,1275798,napA,-,PA1174,"[1273309, 1275798]"
2507,gene-PA1175,1275795,1276124,napD,-,PA1175,"[1275795, 1276124]"
2509,gene-PA1176,1276117,1276608,napF,-,PA1176,"[1276117, 1276608]"
2511,gene-PA1177,1276617,1276784,napE,-,PA1177,"[1276617, 1276784]"
2513,gene-PA1178,1277006,1277608,oprH,+,PA1178,"[1277006, 1277608]"
2515,gene-PA1179,1277688,1278365,phoP,+,PA1179,"[1277688, 1278365]"
2517,gene-PA1180,1278362,1279708,phoQ,+,PA1180,"[1278362, 1279708]"
2519,gene-PA1181,1279810,1283172,PA1181,+,PA1181,"[1279810, 1283172]"
2521,gene-PA1182,1283176,1284177,PA1182,-,PA1182,"[1283176, 1284177]"
2523,gene-PA1183,1284513,1285823,dctA,+,PA1183,"[1284513, 1285823]"
2525,gene-PA1184,1285898,1286788,PA1184,-,PA1184,"[1285898, 1286788]"
2527,gene-PA1185,1286990,1287619,PA1185,+,PA1185,"[1286990, 1287619]"
2529,gene-PA1186,1287616,1288635,PA1186,+,PA1186,"[1287616, 1288635]"
2531,gene-PA1187,1288737,1289876,PA1187,+,PA1187,"[1288737, 1289876]"
2533,gene-PA1188,1289965,1291146,PA1188,+,PA1188,"[1289965, 1291146]"
2535,gene-PA1189,1291148,1291645,PA1189,-,PA1189,"[1291148, 1291645]"
2537,gene-PA1190,1291813,1292412,PA1190,-,PA1190,"[1291813, 1292412]"
2539,gene-PA1191,1292571,1293164,PA1191,-,PA1191,"[1292571, 1293164]"
2541,gene-PA1192,1293267,1294091,PA1192,+,PA1192,"[1293267, 1294091]"
2544,gene-PA1193,1294138,1294809,PA1193,+,PA1193,"[1294138, 1294809]"
2546,gene-PA1194,1294811,1296229,PA1194,-,PA1194,"[1294811, 1296229]"
2548,gene-PA1195,1296334,1297098,PA1195,-,PA1195,"[1296334, 1297098]"
2550,gene-PA1196,1297309,1298709,PA1196,+,PA1196,"[1297309, 1298709]"
2552,gene-PA1197,1298722,1299492,PA1197,+,PA1197,"[1298722, 1299492]"
2554,gene-PA1198,1299558,1300175,PA1198,+,PA1198,"[1299558, 1300175]"
2556,gene-PA1199,1300258,1300791,PA1199,+,PA1199,"[1300258, 1300791]"
2558,gene-PA1200,1300811,1301473,PA1200,+,PA1200,"[1300811, 1301473]"
2560,gene-PA1201,1301481,1302395,PA1201,-,PA1201,"[1301481, 1302395]"
2562,gene-PA1202,1302696,1303313,PA1202,+,PA1202,"[1302696, 1303313]"
2564,gene-PA1203,1303457,1303864,PA1203,+,PA1203,"[1303457, 1303864]"
2566,gene-PA1204,1303892,1304449,PA1204,+,PA1204,"[1303892, 1304449]"
2568,gene-PA1205,1304476,1305423,PA1205,+,PA1205,"[1304476, 1305423]"
2570,gene-PA1206,1305583,1306056,PA1206,+,PA1206,"[1305583, 1306056]"
2572,gene-PA1207,1306059,1307900,kefB,+,PA1207,"[1306059, 1307900]"
2574,gene-PA1208,1308067,1309566,PA1208,+,PA1208,"[1308067, 1309566]"
2576,gene-PA1209,1309583,1310518,PA1209,-,PA1209,"[1309583, 1310518]"
2578,gene-PA1210,1310688,1311386,PA1210,-,PA1210,"[1310688, 1311386]"
2580,gene-PA1211,1311504,1312139,PA1211,-,PA1211,"[1311504, 1312139]"
2582,gene-PA1212,1312136,1313365,PA1212,-,PA1212,"[1312136, 1313365]"
2584,gene-PA1213,1313362,1314321,PA1213,-,PA1213,"[1313362, 1314321]"
2586,gene-PA1214,1314318,1315916,PA1214,-,PA1214,"[1314318, 1315916]"
2589,gene-PA1215,1315916,1317202,PA1215,-,PA1215,"[1315916, 1317202]"
2591,gene-PA1216,1317404,1318150,PA1216,-,PA1216,"[1317404, 1318150]"
2593,gene-PA1217,1318147,1319514,PA1217,-,PA1217,"[1318147, 1319514]"
2595,gene-PA1218,1319511,1320389,PA1218,-,PA1218,"[1319511, 1320389]"
2597,gene-PA1219,1320386,1321000,PA1219,-,PA1219,"[1320386, 1321000]"
2599,gene-PA1220,1320994,1322256,PA1220,-,PA1220,"[1320994, 1322256]"
2601,gene-PA1221,1322253,1324109,PA1221,-,PA1221,"[1322253, 1324109]"
2603,gene-PA1222,1324793,1325950,PA1222,-,PA1222,"[1324793, 1325950]"
2605,gene-PA1223,1326046,1326939,PA1223,-,PA1223,"[1326046, 1326939]"
2607,gene-PA1224,1327024,1327803,PA1224,+,PA1224,"[1327024, 1327803]"
2609,gene-PA1225,1327813,1328439,PA1225,-,PA1225,"[1327813, 1328439]"
2611,gene-PA1226,1328545,1329153,PA1226,+,PA1226,"[1328545, 1329153]"
2613,gene-PA1227,1329192,1330040,PA1227,+,PA1227,"[1329192, 1330040]"
2615,gene-PA1228,1330117,1330467,PA1228,-,PA1228,"[1330117, 1330467]"
2617,gene-PA1229,1330577,1331383,PA1229,-,PA1229,"[1330577, 1331383]"
2620,gene-PA1230,1331517,1331714,PA1230,+,PA1230,"[1331517, 1331714]"
2622,gene-PA1231,1331727,1332635,PA1231,+,PA1231,"[1331727, 1332635]"
2624,gene-PA1232,1332635,1334674,PA1232,+,PA1232,"[1332635, 1334674]"
2626,gene-PA1233,1334671,1334928,PA1233,+,PA1233,"[1334671, 1334928]"
2628,gene-PA1234,1334950,1335453,PA1234,-,PA1234,"[1334950, 1335453]"
2630,gene-PA1235,1335645,1336427,PA1235,+,PA1235,"[1335645, 1336427]"
2632,gene-PA1236,1336430,1337941,PA1236,-,PA1236,"[1336430, 1337941]"
2634,gene-PA1237,1337931,1339082,PA1237,-,PA1237,"[1337931, 1339082]"
2636,gene-PA1238,1339079,1340527,PA1238,-,PA1238,"[1339079, 1340527]"
2638,gene-PA1239,1340910,1341794,PA1239,-,PA1239,"[1340910, 1341794]"
2640,gene-PA1240,1341851,1342648,PA1240,-,PA1240,"[1341851, 1342648]"
2642,gene-PA1241,1342813,1343373,PA1241,+,PA1241,"[1342813, 1343373]"
2644,gene-PA1242,1343453,1345225,PA1242,+,PA1242,"[1343453, 1345225]"
2646,gene-PA1243,1345248,1347824,PA1243,-,PA1243,"[1345248, 1347824]"
2649,gene-PA1244,1348060,1348401,PA1244,-,PA1244,"[1348060, 1348401]"
2652,gene-PA1245,1349416,1350660,PA1245,+,PA1245,"[1349416, 1350660]"
2654,gene-PA1246,1350747,1352528,aprD,+,PA1246,"[1350747, 1352528]"
2656,gene-PA1247,1352525,1353823,aprE,+,PA1247,"[1352525, 1353823]"
2658,gene-PA1248,1353827,1355272,aprF,+,PA1248,"[1353827, 1355272]"
2660,gene-PA1249,1355631,1357070,aprA,+,PA1249,"[1355631, 1357070]"
2662,gene-PA1250,1357317,1357712,aprI,+,PA1250,"[1357317, 1357712]"
2664,gene-PA1251,1357725,1359350,PA1251,-,PA1251,"[1357725, 1359350]"
2666,gene-PA1252,1359590,1360594,PA1252,+,PA1252,"[1359590, 1360594]"
2668,gene-PA1253,1360698,1362278,PA1253,-,PA1253,"[1360698, 1362278]"
2670,gene-PA1254,1362371,1363288,PA1254,-,PA1254,"[1362371, 1363288]"
2672,gene-PA1255,1363439,1364473,PA1255,-,PA1255,"[1363439, 1364473]"
2674,gene-PA1256,1364499,1365221,PA1256,-,PA1256,"[1364499, 1365221]"
2676,gene-PA1257,1365218,1365862,PA1257,-,PA1257,"[1365218, 1365862]"
2678,gene-PA1258,1365873,1366538,PA1258,-,PA1258,"[1365873, 1366538]"
2680,gene-PA1259,1366538,1368280,PA1259,-,PA1259,"[1366538, 1368280]"
2682,gene-PA1260,1368339,1369160,PA1260,-,PA1260,"[1368339, 1369160]"
2684,gene-PA1261,1369418,1370092,PA1261,-,PA1261,"[1369418, 1370092]"
2686,gene-PA1262,1370257,1371699,PA1262,-,PA1262,"[1370257, 1371699]"
2688,gene-PA1263,1371738,1372682,PA1263,+,PA1263,"[1371738, 1372682]"
2690,gene-PA1264,1372979,1373845,PA1264,-,PA1264,"[1372979, 1373845]"
2692,gene-PA1265,1373945,1374847,PA1265,+,PA1265,"[1373945, 1374847]"
2694,gene-PA1266,1374844,1376097,PA1266,-,PA1266,"[1374844, 1376097]"
2696,gene-PA1267,1376327,1377442,PA1267,-,PA1267,"[1376327, 1377442]"
2699,gene-PA1268,1377439,1378383,PA1268,-,PA1268,"[1377439, 1378383]"
2701,gene-PA1269,1378500,1379168,PA1269,-,PA1269,"[1378500, 1379168]"
